repeticao,nome_img,filtro,config,f1score,precision,recall,tempo_ms,cpu_time_ms,horario_inicio,horario_fim
1,RGB_020.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.11179369250985548,0.2599098755059956,0.07121183585493963,1.7903679981827736,1.785030999999826,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_020.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.1024561403508772,0.21538255213572052,0.06721493293155043,1.6012689993658569,1.5565909999999405,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_021.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.11061091391798689,0.23417644183773215,0.07240545543843742,0.8411390008404851,0.8349700000001015,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_021.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.12060463387436501,0.175248451677949,0.09193773848653142,1.499538997450145,1.4899599999997903,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_022.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.13727037492429942,0.2086413210231235,0.10228220590447279,0.6489890001830645,0.6487109999997465,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_022.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.08646360964026158,0.14422155497348751,0.06173852401854207,1.4926490002835635,1.486461000000272,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_023.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.06899155456701768,0.29804283080414123,0.03901094311252193,0.6629290001001209,0.6559099999998708,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_023.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.06405107457035746,0.15997923310835868,0.04004121070364492,1.4878589972795453,1.482080999999802,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_024.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.11232644126540893,0.273217515956176,0.07069556309170552,0.6707300017296802,0.670291000000045,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_024.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.09301965203916321,0.22976546732549238,0.058313904196693515,1.4944290014682338,1.482030000000023,10/05/2026 10:22:18,10/05/2026 10:22:18
